Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI,Daily meals frequency,Carbs,Proteins,Fats,Calories,meal_name,meal_type,diet_type,sugar_g,sodium_mg,cholesterol_mg,serving_size_g,cooking_method,prep_time_min,cook_time_min,rating,Name of Exercise,Sets,Reps,Benefit,Burns Calories (per 30 min),Target Muscle Group,Equipment Needed,Difficulty Level,Body Part,Type of Muscle,Workout,BMI_calc,cal_from_macros,pct_carbs,protein_per_kg,pct_HRR,pct_maxHR,cal_balance,lean_mass_kg,expected_burn,Burns Calories (per 30 min)_bc,Burns_Calories_Bin,BMI_Calc_Check,Burn Efficiency (Cal/Hr)
35,Male,65.27,1.62,189,158,69,1,1081,Strength,27,1.5,4,2,24.9,3,267.68,106.05,71.63,1806,Other,Lunch,Vegan,31.77,1729.94,285.05,120.47,Grilled,16.24,110.79,1.3,Decline Push-ups,5,21,Improves shoulder health and posture,342.58,"Shoulders, Triceps",Cable Machine,Advanced,Legs,Lats,Dumbbell flyes,24.87,2139.59,0.5,1.62,0.74,0.84,725.1,47.78,685.16,7.26e+19,Medium,24.8704465782655,1081.0
23,Female,56.41,1.55,179,132,73,1,1810,HIIT,28,1.9,4,2,23.5,3,214.32,85.41,56.97,1577,Other,Lunch,Vegetarian,12.34,693.08,300.61,109.15,Fried,16.47,12.01,1.9,Bear Crawls,4,16,Strengthens lower abs,357.16,"Back, Core, Shoulders",Step or Box,Intermediate,Chest,Lats,Lateral raises,23.48,1711.65,0.5,1.51,0.55,0.73,-232.91,40.81,978.62,1.02e+20,High,23.479708636836623,1810.0
33,Female,58.98,1.67,175,124,55,1,802,Cardio,24,1.9,3,1,21.2,2,246.04,98.11,65.48,1608,Other,Breakfast,Paleo,42.81,2142.48,215.42,399.43,Boiled,54.35,6.09,4.7,Dips,5,22,Builds chest strength,359.63,"Quadriceps, Glutes",Step or Box,Intermediate,Arms,Grip Strength,Standing calf raises,21.15,1965.92,0.5,1.66,0.57,0.71,805.74,44.64,654.53,1.08e+20,High,21.148122915844954,802.0
39,Female,93.78,1.7,191,155,50,1,1451,HIIT,33,2.5,4,2,32.4,3,203.22,80.84,54.56,2657,Other,Lunch,Paleo,9.34,123.2,9.7,314.31,Fried,27.73,103.72,4.8,Mountain Climbers,4,17,Improves coordination and cardiovascular health,351.65,"Biceps, Forearms",Parallel Bars or Chair,Advanced,Shoulders,Upper,Incline dumbbell flyes,32.45,1627.28,0.5,0.86,0.74,0.81,1206.21,63.01,773.63,8.99e+19,High,32.44982698961938,1451.0
45,Male,52.42,1.88,194,153,71,1,1166,Strength,17,2.9,4,2,14.8,3,332.79,133.05,88.43,1470,Other,Breakfast,Vegan,23.78,1935.11,116.89,99.22,Baked,34.16,46.55,3.1,Bicep Curls,5,15,Targets obliques and improves core rotation,329.36,"Chest, Triceps",Wall,Advanced,Abs,Wrist Flexors,Military press,14.83,2659.23,0.5,2.54,0.67,0.79,303.6,43.35,711.42,5.26e+19,Low,14.831371661385244,1166.0
53,Female,105.05,1.84,177,131,62,1,453,Yoga,32,2.9,3,1,31.0,3,170.86,67.92,46.06,2767,Other,Snack,Keto,15.89,2382.39,36.38,416.54,Steamed,20.98,54.64,3.4,Leg Press,4,25,Builds explosive power,374.56,"Core, Obliques",Resistance Band or Cable Machine,Beginner,Arms,Wrist Flexors,Skull crushers,31.03,1369.66,0.5,0.65,0.6,0.74,2313.67,71.38,516.89,1.51e+20,Very High,31.028473534971642,453.0
23,Male,58.41,1.78,185,141,58,2,1954,Strength,21,2.7,5,3,18.4,2,280.33,112.35,74.97,1867,Other,Breakfast,Low-Carb,12.48,2220.46,56.69,289.93,Fried,52.43,46.08,3.8,Thrusters,5,25,Strengthens back and improves posture,328.94,Core,None or Dumbbells,Advanced,Shoulders,Wrist Flexors,Barbell rows,18.44,2245.45,0.5,1.92,0.65,0.76,-86.9,46.41,1098.66,5.21e+19,Low,18.435172326726423,977.0
56,Female,84.07,1.63,184,141,52,1,728,Yoga,32,2.9,4,2,31.6,3,262.57,105.41,70.37,2191,Other,Snack,Low-Carb,2.87,1501.99,74.7,487.67,Raw,38.57,36.64,3.2,Turkish Get-ups,5,19,Improves core stability and upper body strength,363.56,"Back, Biceps",Pull-up Bar,Intermediate,Back,Lower,Hammer curl,31.64,2105.25,0.5,1.25,0.68,0.77,1463.19,57.09,734.39,1.18e+20,Very High,31.642139335315594,728.0
24,Female,88.58,1.79,177,154,65,2,2062,Strength,27,3.5,4,3,27.6,3,173.08,69.44,45.91,2587,Other,Lunch,Vegan,0.72,293.36,188.26,123.56,Boiled,45.85,14.31,2.8,Glute Bridges,4,24,Full body workout,349.51,"Upper Chest, Triceps",Barbell,Beginner,Chest,Middle,Russian twists,27.65,1383.27,0.5,0.78,0.8,0.87,524.63,64.34,1230.28,8.55e+19,High,27.645828781873224,1031.0
39,Female,50.32,1.6,167,128,50,1,1157,Strength,22,2.5,2,1,19.7,3,191.06,76.76,50.71,1247,Other,Lunch,Paleo,50.02,757.93,291.34,415.04,Grilled,18.95,26.51,1.6,Step-ups,4,16,Builds chest strength,326.31,"Core, Lower Back",Low Bar or TRX,Intermediate,Forearms,Lower Chest,Towel pull-up,19.66,1527.67,0.5,1.53,0.67,0.77,89.75,39.3,763.57,4.88e+19,Low,19.656249999999996,1157.0
